rebrickable_fig_num,bricklink_minifig_id,match_score,trusted
fig-000005,sp012,85.5,yes
fig-000004,sp013,85.5,yes
fig-010418,sp014,95.0,yes
fig-000007,sp015,85.5,yes
fig-000007,sp016,85.5,yes
fig-000061,sp017,85.5,yes
fig-000007,sp018,85.5,yes
fig-000007,sp019,85.5,yes
fig-000004,sp020,85.5,yes
fig-000286,sp021,90.0,yes
fig-000005,sp022,85.5,yes
fig-000004,sp023,85.5,yes
fig-000005,sp024,85.5,yes
fig-000764,sp025,90.0,yes
fig-000005,sp026,85.5,yes
fig-000764,sp027,90.0,yes
fig-000004,sp028,85.5,yes
fig-000004,sp029,85.5,yes
fig-000764,sp030,90.0,yes
fig-009479,sp032,90.0,yes
fig-000065,sp033,90.0,yes
fig-005033,sp035,90.0,yes
fig-000070,sp036,92.9,yes
fig-000749,sp037,95.0,yes
fig-000749,sp038,90.0,yes
fig-000114,sp039,100.0,yes
fig-000756,sp040,100.0,yes
fig-000114,sp041,90.0,yes
fig-000007,sp042,85.5,yes
fig-009479,sp043,90.0,yes
fig-009479,sp044,90.0,yes
fig-000007,sp045,85.5,yes
fig-000005,sp046,85.5,yes
fig-000004,sp047,85.5,yes
fig-006952,sp048,100.0,yes
fig-006953,sp049,100.0,yes
fig-000020,sw0002,85.5,yes
fig-000010,sw0003,85.5,yes
fig-000010,sw0004,85.5,yes
fig-000007,sw0005,85.5,yes
fig-003644,sw0006,100.0,yes
fig-003703,sw0007,85.5,yes
fig-000010,sw0008,85.5,yes
fig-000032,sw0009,85.5,yes
fig-003509,sw0010,93.6,yes
fig-000997,sw0011,90.9,yes
fig-000010,sw0012,85.5,yes
fig-000137,sw0013,85.5,yes
fig-009690,sw0014,90.0,yes
fig-000003,sw0015,85.5,yes
fig-000010,sw0016,85.5,yes
fig-003613,sw0017,90.0,yes
fig-015024,sw0018,90.0,yes
fig-000005,sw0019,85.5,yes
fig-015024,sw0020,90.0,yes
fig-000144,sw0021,85.5,yes
fig-001096,sw0022,90.0,yes
fig-000005,sw0023,85.5,yes
fig-000005,sw0024,85.5,yes
fig-002557,sw0025,64.3,no
fig-002522,sw0026,90.0,yes
fig-016016,sw0027,90.0,yes
fig-003541,sw0028,95.5,yes
fig-003858,sw0029,85.9,yes
fig-000190,sw0030,85.5,yes
fig-015317,sw0031,90.0,yes
fig-015317,sw0032,90.0,yes
fig-000007,sw0033,85.5,yes
fig-000053,sw0034,85.5,yes
fig-000510,ww001,85.5,yes
fig-002037,ww002,90.0,yes
fig-002037,ww003,90.0,yes
fig-002037,ww004,90.0,yes
fig-004374,ww005,100.0,yes
fig-004374,ww006,90.0,yes
fig-001149,ww007,90.0,yes
fig-000007,ww008,85.5,yes
fig-001149,ww010,90.0,yes
fig-001149,ww011,95.0,yes
fig-002168,ww012,69.2,no
fig-000040,ww013,85.5,yes
fig-000004,ww014,85.5,yes
fig-000004,ww016,85.5,yes
fig-000734,ww017,90.0,yes
fig-000010,ww018,85.5,yes
fig-001211,ww019,100.0,yes
fig-012640,ww020,90.9,yes
fig-001316,ww021,90.0,yes
fig-000007,chef007,85.5,yes
fig-000010,par002,85.5,yes
fig-000003,par003,85.5,yes
fig-000010,par004,85.5,yes
fig-000003,par005,85.5,yes
fig-000010,par006,85.5,yes
fig-000003,par007,85.5,yes
fig-000010,par008,85.5,yes
fig-000004,par009,85.5,yes
fig-000004,par010,85.5,yes
fig-000004,par017a,85.5,yes
fig-000003,par012,85.5,yes
fig-000004,par013,85.5,yes
fig-000010,par014,85.5,yes
fig-000010,par015,85.5,yes
fig-000003,par016,85.5,yes
fig-000004,par017,85.5,yes
fig-000003,par018,85.5,yes
fig-000010,par019,85.5,yes
fig-000010,par020,85.5,yes
fig-000010,par021,85.5,yes
fig-000005,par022,85.5,yes
fig-000005,par023,85.5,yes
fig-000003,par024,85.5,yes
fig-000004,par025,85.5,yes
fig-000003,par026,85.5,yes
fig-000004,par027,85.5,yes
fig-000004,par028,85.5,yes
fig-000004,par029,85.5,yes
fig-000010,par030,85.5,yes
fig-000003,par031,85.5,yes
fig-000004,par032,85.5,yes
fig-000010,par033,85.5,yes
fig-000003,par034,85.5,yes
fig-008707,par035,88.4,yes
fig-000004,par036,85.5,yes
fig-000066,wtr001,90.0,yes
fig-005817,wtr003,90.0,yes
fig-000004,tim001,85.5,yes
fig-000005,tim002,85.5,yes
fig-005138,tim003,90.0,yes
fig-000010,tim004,85.5,yes
fig-000004,arc001,85.5,yes
fig-000010,arc002,85.5,yes
fig-001051,arc003,90.9,yes
fig-000116,arc004,91.0,yes
fig-000010,arc005,85.5,yes
fig-000010,arc006,85.5,yes
fig-000053,arc007,85.5,yes
fig-000053,arc008,85.5,yes
fig-000007,arc009,85.5,yes
fig-005921,div001,90.0,yes
fig-005921,div002,90.0,yes
fig-012400,div003,90.0,yes
fig-000007,div004,85.5,yes
fig-000007,div005,85.5,yes
fig-000010,div007,85.5,yes
fig-000003,div008,85.5,yes
fig-000004,div009,85.5,yes
fig-001327,div010,90.0,yes
fig-000005,div011,85.5,yes
fig-000003,div012,85.5,yes
fig-001327,div013,90.0,yes
fig-000010,div014,85.5,yes
fig-000004,div015,85.5,yes
fig-000004,div016,85.5,yes
fig-000003,div018,85.5,yes
fig-001327,div020,90.0,yes
fig-000003,ext001,85.5,yes
fig-000019,ext002,85.5,yes
fig-000010,ext003,85.5,yes
fig-000007,ext004,85.5,yes
fig-000004,ext005,85.5,yes
fig-000004,ext006,85.5,yes
fig-000004,ext007,85.5,yes
fig-000003,oct013,85.5,yes
fig-000003,oct015,85.5,yes
fig-000007,ext010,85.5,yes
fig-000003,ext011,85.5,yes
fig-000003,ext012,85.5,yes
fig-000029,rsq002,85.5,yes
fig-000010,rsq003,85.5,yes
fig-000007,rsq004,85.5,yes
fig-000004,rsq005,85.5,yes
fig-000004,rsq006,85.5,yes
fig-001327,rsq007,90.0,yes
fig-000007,rsq008,85.5,yes
fig-000007,rsq009,85.5,yes
fig-000004,rsq010,85.5,yes
fig-001014,spp001,90.0,yes
fig-000003,spp002,85.5,yes
fig-001014,spp003,90.0,yes
fig-001014,splc002,90.0,yes
fig-000003,spp005,85.5,yes
fig-001014,spp006,90.0,yes
fig-000027,spp007,85.5,yes
fig-000003,spp008,85.5,yes
fig-000003,spp009,85.5,yes
fig-000003,spp010,85.5,yes
fig-000962,spp011,90.0,yes
fig-005508,spp012,90.0,yes
fig-000019,twn002,85.5,yes
fig-000010,twn004,85.5,yes
fig-005921,twn005,90.0,yes
fig-000003,twn006,85.5,yes
fig-000005,twn008,85.5,yes
fig-005327,twn009,90.0,yes
fig-005327,twn010,90.0,yes
fig-000001,trn045,85.5,yes
fig-000001,trn046,85.5,yes
fig-000003,trn047,85.5,yes
fig-000003,trn048,85.5,yes
fig-000003,trn049,85.5,yes
fig-000003,trn050,85.5,yes
fig-000003,trn051,85.5,yes
fig-000007,trn052,85.5,yes
fig-000003,trn053,85.5,yes
fig-000003,trn054,85.5,yes
fig-000003,trn055,85.5,yes
fig-000003,trn056,85.5,yes
fig-000003,trn057,85.5,yes
fig-000003,trn058,85.5,yes
fig-000001,trn059,85.5,yes
fig-000001,trn060,85.5,yes
fig-000001,trn061,85.5,yes
fig-000486,trn062,85.5,yes
fig-001949,trn063,85.5,yes
fig-000010,trn064,85.5,yes
fig-000038,trn065,85.5,yes
fig-004942,chef005,95.0,yes
fig-000010,chef004,85.5,yes
fig-000004,chef006,85.5,yes
fig-000005,trn005,85.5,yes
fig-000003,trn006,85.5,yes
fig-000010,trn007,85.5,yes
fig-000010,trn008,85.5,yes
fig-000004,trn009,85.5,yes
fig-000004,trn010,85.5,yes
fig-000003,trn011,85.5,yes
fig-000003,trn012,85.5,yes
fig-000003,trn013,85.5,yes
fig-000005,trn014,85.5,yes
fig-000004,trn015,85.5,yes
fig-000003,trn016,85.5,yes
fig-000003,trn017,85.5,yes
fig-000010,trn018,85.5,yes
fig-000010,trn019,85.5,yes
fig-004932,trn020,88.8,yes
fig-004792,trn021,88.5,yes
fig-004906,trn022,88.7,yes
fig-000004,trn023,85.5,yes
fig-000010,bnk001,85.5,yes
fig-000005,trn025,85.5,yes
fig-000010,trn026,85.5,yes
fig-000005,trn027,85.5,yes
fig-000005,trn028,85.5,yes
fig-000004,trn029,85.5,yes
fig-000003,trn030,85.5,yes
fig-000003,trn031,85.5,yes
fig-000003,trn032,85.5,yes
fig-000003,trn033,85.5,yes
fig-001482,trn034,89.9,yes
fig-000010,trn035,85.5,yes
fig-000010,trn036,85.5,yes
fig-000004,trn037,85.5,yes
fig-000004,trn038,85.5,yes
fig-000004,trn039,85.5,yes
fig-000007,trn040,85.5,yes
fig-000005,oct014,85.5,yes
fig-000715,oct012,92.5,yes
fig-001316,trn043,90.0,yes
fig-000004,cop011,85.5,yes
fig-000061,gen001,85.5,yes
fig-000898,sw0035,90.0,yes
fig-000005,sw0065,85.5,yes
fig-000005,cas075,85.5,yes
fig-000010,gen002,85.5,yes
fig-005025,sw0036,90.0,yes
fig-000004,cas074,85.5,yes
fig-000005,cas076,85.5,yes
fig-000007,cas109,85.5,yes
fig-000004,cas166,85.5,yes
fig-000004,cas168,85.5,yes
fig-000004,cas170,85.5,yes
fig-000004,cas172,85.5,yes
fig-006546,cas077,90.0,yes
fig-000007,fab1a,85.5,yes
fig-000003,fab1b,85.5,yes
fig-000004,fab1c,85.5,yes
fig-000004,fab2a,85.5,yes
fig-000003,fab2b,85.5,yes
fig-000003,fab2c,85.5,yes
fig-000003,fab2d,85.5,yes
fig-000004,fab2f,85.5,yes
fig-000004,fab2g,85.5,yes
fig-000003,fab2h,85.5,yes
fig-000004,fab3a,85.5,yes
fig-000003,fab3b,85.5,yes
fig-000003,fab3d,85.5,yes
fig-000004,fab3e,85.5,yes
fig-000003,fab3g,85.5,yes
fig-000003,fab3h,85.5,yes
fig-000053,fab4a,85.5,yes
fig-000072,fab4b,85.5,yes
fig-000027,fab4c,85.5,yes
fig-000004,fab4d,85.5,yes
fig-013294,fab4e,90.0,yes
fig-000003,fab4f,85.5,yes
fig-000007,fab4g,85.5,yes
fig-000004,fab5a,85.5,yes
fig-000004,fab5b,85.5,yes
fig-000004,fab5d,85.5,yes
fig-000010,fab5e,85.5,yes
fig-000005,fab5f,85.5,yes
fig-000003,fab5g,85.5,yes
fig-000010,fab5h,85.5,yes
fig-000005,fab6f,85.5,yes
fig-000005,fab6b,85.5,yes
fig-000007,fab6c,85.5,yes
fig-000004,fab6d,85.5,yes
fig-000019,fab7a,85.5,yes
fig-000059,fab7b,85.5,yes
fig-002191,fab7c,85.5,yes
fig-000003,fab7d,85.5,yes
fig-000061,fab7e,85.5,yes
fig-000005,fab7f,85.5,yes
fig-000003,fab7g,85.5,yes
fig-000004,fab8a,85.5,yes
fig-000004,fab8b,85.5,yes
fig-000004,fab8d,85.5,yes
fig-000003,fab8e,85.5,yes
fig-000005,fab8g,85.5,yes
fig-000003,fab8h,85.5,yes
fig-000003,fab8i,85.5,yes
fig-000004,fab9a,85.5,yes
fig-000004,fab9b,85.5,yes
fig-000007,fab9c,85.5,yes
fig-000003,fab9g,85.5,yes
fig-013679,fab10a,90.0,yes
fig-000003,fab10b,85.5,yes
fig-000007,fab10c,85.5,yes
fig-000005,fab11a,85.5,yes
fig-000003,fab11f,85.5,yes
fig-000004,fab12a,85.5,yes
fig-000003,fab12c,85.5,yes
fig-000004,fab12d,85.5,yes
fig-000004,fab12e,85.5,yes
fig-000004,fab12f,85.5,yes
fig-004420,cas078,90.0,yes
fig-006546,cas079,90.0,yes
fig-000005,cas081s,85.5,yes
fig-000005,cas082s,85.5,yes
fig-000003,cas083s,85.5,yes
fig-000003,cas084s,85.5,yes
fig-000004,cas085s,85.5,yes
fig-000005,cas086s,85.5,yes
fig-000005,cas087s,85.5,yes
fig-000005,cas088s,85.5,yes
fig-000004,cas089,85.5,yes
fig-004420,cas090,90.0,yes
fig-006789,cas091,100.0,yes
fig-000644,cas092,100.0,yes
fig-006791,cas093,100.0,yes
fig-000004,cas095,85.5,yes
fig-006747,cas096,95.0,yes
fig-000020,cas097,85.5,yes
fig-000005,cas098,85.5,yes
fig-000004,cas099,85.5,yes
fig-004420,cas100,90.0,yes
fig-000004,cas101,85.5,yes
fig-000004,cas102,85.5,yes
fig-000004,cas103,85.5,yes
fig-004420,cas104,90.0,yes
fig-000004,cas105,85.5,yes
fig-004420,cas106,90.0,yes
fig-000004,cas107,85.5,yes
fig-000004,cas108,85.5,yes
fig-000004,cas115,85.5,yes
fig-004420,cas117,90.0,yes
fig-004420,cas125,90.0,yes
fig-000004,cas110,85.5,yes
fig-000004,cas111,85.5,yes
fig-000004,cas112,85.5,yes
fig-000004,cas113,85.5,yes
fig-004566,cas114,86.3,yes
fig-000004,cas116,85.5,yes
fig-004420,cas118,90.0,yes
fig-000004,cas119,85.5,yes
fig-000004,cas120,85.5,yes
fig-006554,cas121,91.7,yes
fig-004420,cas122,90.0,yes
fig-004420,cas123,90.0,yes
fig-000003,cas124,85.5,yes
fig-006857,cas126,85.6,yes
fig-004420,cas127,90.0,yes
fig-000027,cas128,85.5,yes
fig-004420,cas129,90.0,yes
fig-004420,cas130,90.0,yes
fig-004420,cas131,90.0,yes
fig-004420,cas132,90.0,yes
fig-000027,cas133,85.5,yes
fig-004420,cas134,90.0,yes
fig-006871,cas135,87.5,yes
fig-000032,cas136,85.5,yes
fig-000027,cas137,85.5,yes
fig-006871,cas138,87.3,yes
fig-000027,cas139,85.5,yes
fig-004420,cas140,90.0,yes
fig-000004,cas141,85.5,yes
fig-000004,cas142,85.5,yes
fig-004420,cas143,90.0,yes
fig-000004,cas144,85.5,yes
