bricklink_minifig_id,avg_price,min_price,max_price
hp450,6.7047,4.0800,9.0717
hp451,18.4465,11.2642,23.1400
hp452,19.5446,12.0152,26.9400
hp453,42.0420,33.9974,59.6913
hp454,8.8461,4.4425,22.1154
hp455,21.9149,16.0000,29.9900
hp457,25.1464,20.4393,30.0000
hp463,3.0992,1.8909,8.9130
hp464,13.3725,5.8109,24.8681
hp466,19.2900,10.0000,50.0632
hp467,3.7669,2.4361,8.5376
hp468,2.2692,1.1614,6.5000
hp469,5.0131,3.1814,15.0000
hp470,3.0350,1.7373,6.1442
hp471,3.2695,1.8933,6.5300
hp472,2.9452,1.8052,6.1790
hp473,5.4327,3.1477,11.0970
hp474,6.3065,4.3827,9.3750
hp475,2.6262,1.3885,6.2500
hp476,2.5093,1.5000,5.2633
hp477,2.4920,1.5000,6.2500
hp478,5.0948,3.3500,20.6850
hp480,7.4688,3.5043,10.0000
hp481,2.3515,0.7106,8.7480
hp482,1.9358,0.9399,5.4000
hp484,14.6057,9.8146,23.3620
hp485,9.6582,6.7106,13.6262
hp486,5.1058,3.0263,8.0000
hp487,4.8612,3.5160,7.6880
hp488,12.9914,9.7583,25.0000
hp489,35.0430,35.0430,35.0430
hp490,4.5094,3.1994,5.9900
hp491,3.3553,0.9300,6.5000
hp492,3.7302,1.8653,11.5050
hp493,4.2529,2.9048,6.5000
hp494,15.2838,7.7365,27.0000
hp495,2.8841,0.6813,20.0000
hp496,2.8292,1.1500,20.0000
hp497,12.3105,4.9860,25.0000
hp498,15.2062,10.6579,25.0000
hp499,11.4197,8.6900,20.0000
hp500,18.0500,11.7400,28.0000
hp501,9.2146,5.8405,16.8692
hp502,5.6874,3.0000,10.1400
hp503,4.7713,2.7096,7.1200
hp504,8.3905,5.8288,15.1100
hp505,5.1374,4.0879,8.9300
hp506,9.8987,6.9152,12.2636
hp508,12.1980,8.2834,16.5938
hp509,8.3315,6.0000,13.7906
hp510,25.8435,24.6837,27.0032
hp511,22.3005,17.7653,26.1361
hp512,8.6052,5.2193,12.9991
hp513,7.8020,4.6600,12.0804
hp514,13.1579,10.2209,18.7550
hp515,7.0703,3.8800,11.6120
hp516,6.8248,4.5421,10.6592
hp517,12.8781,9.1696,14.9228
hp526,5.9972,4.0013,9.0200
